domain,CDN_provider,isProvider
akamai.net,"Akamai","True"
akamaiedge.net,"Akamai","True"
akamaihd.net,"Akamai","True"
edgesuite.net,"Akamai","True"
edgekey.net,"Akamai","True"
srip.ne,"Akamai","True"
akamaitechnologies.com,"Akamai","True"
akamaitechnologies.fr,"Akamai","True"
llnwd.net,"Limelight","True"
edgecastcdn.net,"Edgecast","True"
systemcdn.net,"Edgecast","True"
transactcdn.net,"Edgecast","True"
v1cdn.net,"Edgecast","True"
v2cdn.net,"Edgecast","True"
v3cdn.net,"Edgecast","True"
v4cdn.net,"Edgecast","True"
v5cdn.net,"Edgecast","True"
hwcdn.net,"Highwinds","True"
simplecdn.net,"Simple CDN","True"
instacontent.net,"Mirror Image","True"
footprint.net,"Level 3","True"
ay1.b.yahoo.com,"Yahoo","True"
yimg.com,"Yahoo","True"
yahooapis.com,"Yahoo","True"
google.com,"Google","True"
googlesyndication.com,"Google","True"
youtube.com,"Google","True"
googleusercontent.com,"Google","True"
googlehosted.com,"Google","True"
gstatic.com,"Google","True"
doubleclick.net,"Google","True"
insnw.net,"Instart Logic","True"
inscname.net,"Instart Logic","True"
internapcdn.net,"Internap","True"
cloudfront.net,"Amazon CloudFront","True"
netdna-cdn.com,"NetDNA","True"
netdna-ssl.com,"NetDNA","True"
netdna.com,"NetDNA","True"
cotcdn.net,"Cotendo CDN","True"
cachefly.net,"Cachefly","True"
bo.lt,"BO.LT","True"
cloudflare.com,"Cloudflare","True"
afxcdn.net,"afxcdn.net","True"
lxdns.com,"ChinaNetCenter","True"
att-dsa.net,"AT&T","True"
vo.msecnd.net,"Windows Azure","True"
voxcdn.net,"VoxCDN","True"
bluehatnetwork.com,"Blue Hat Network","True"
swiftcdn1.com,"SwiftCDN","True"
cdngc.net,"CDNetworks","True"
gccdn.net,"CDNetworks","True"
panthercdn.com,"CDNetworks","True"
fastly.net,"Fastly","True"
fastlylb.net,"Fastly","True"
nocookie.net,"Fastly","True"
gslb.taobao.com,"Taobao","True"
gslb.tbcache.com,"Alimama","True"
mirror-image.net,"Mirror Image","True"
yottaa.net,"Yottaa","True"
cubecdn.net,"cubeCDN","True"
cdn77.net,"CDN77","True"
cdn77.org,"CDN77","True"
incapdns.net,"Incapsula","True"
bitgravity.com,"BitGravity","True"
r.worldcdn.net,"OnApp","True"
r.worldssl.net,"OnApp","True"
tbcdn.cn,"Taobao","True"
taobaocdn.com,"Taobao","True"
ngenix.net,"NGENIX","True"
pagerain.net,"PageRain","True"
ccgslb.com,"ChinaCache","True"
cdn.sfr.net,"SFR","True"
azioncdn.net,"Azion","True"
azioncdn.com,"Azion","True"
azion.net,"Azion","True"
cdncloud.net.au,"MediaCloud","True"
rncdn1.com,"Reflected Networks","True"
cdnsun.net,"CDNsun","True"
mncdn.com,"Medianova","True"
mncdn.net,"Medianova","True"
mncdn.org,"Medianova","True"
cdn.jsdelivr.net,"jsDelivr","True"
nyiftw.net,"NYI FTW","True"
nyiftw.com,"NYI FTW","True"
resrc.it,"ReSRC.it","True"
zenedge.net,"Zenedge","True"
lswcdn.net,"LeaseWeb CDN","True"
revcn.net,"Rev Software","True"
revdn.net,"Rev Software","True"
caspowa.com,"Caspowa","True"
twimg.net,"Twitter","True"
facebook.com,"Facebook","True"
facebook.net,"Facebook","True"
fbcdn.net,"Facebook","True"
cdninstagram.com,"Facebook","True"
rlcdn.com,"Reapleaf","True"
wp.com,"WordPress Jetpack","True"
apple-dns.net,"Apple DNS","True"
akadns.net,"Akamai DNS","True"
qualtrics.com,"Qualtrics","True"
amazonaws.com,"Amazon Web Services","True"
apple.com,"Apple","True"
yahoodns.net,"Yahoo DNS","True"
live.com,"Microsoft Live","True"
online-metrix.net,"	ThreatMetrix Inc.","True"
rackcdn.com,"RackSpace","True"
lync.com,"Skype Inc.","True"
footprintdns.com,"Microsoft","True"
elasticbeanstalk.com,"Amazon Web Services","True"
uscourts.gov,"US Courts","True"
edgecastdns.net,"Verizon DNS","True"
hp.com,"HP","True"
cloudapp.net,"Cloud App","True"
aol.com,"America Online Inc.","True"
mozilla.com,"Mozilla Foundation","True"
trafficmanager.net,"MarkMonitor, Inc.","True"
