ID,BorBetter_79,ENVIRONMENTAL.STRUCTURE.....1..._count,ENVIRONMENTAL.STRUCTURE.....2..._count,ENVIRONMENTAL.STRUCTURE.....3..._count,ENVIRONMENTAL.STRUCTURE.....4..._count,ENVIRONMENTAL.STRUCTURE..._count,LECTURE.NOTES.COMPLETE.....1..._count,LECTURE.NOTES.COMPLETE.....2..._count,LECTURE.NOTES.COMPLETE.....3..._count,LECTURE.NOTES.COMPLETE.....4..._count,LECTURE.NOTES.COMPLETE..._count,MONITORING.LEARNING...SELF.ASSESSMENT.....1..._count,MONITORING.LEARNING...SELF.ASSESSMENT.....2..._count,MONITORING.LEARNING...SELF.ASSESSMENT.....3..._count,MONITORING.LEARNING...SELF.ASSESSMENT.....4..._count,MONITORING.LEARNING...SELF.ASSESSMENT..._count,MONITORING.PERFORMANCE.....1..._count,MONITORING.PERFORMANCE.....2..._count,MONITORING.PERFORMANCE.....3..._count,MONITORING.PERFORMANCE.....4..._count,MONITORING.PERFORMANCE..._count,MONITORING.PROCESS.....1..._count,MONITORING.PROCESS.....2..._count,MONITORING.PROCESS.....3..._count,MONITORING.PROCESS.....4..._count,MONITORING.PROCESS..._count,MONITORING.PROGRESS.....1..._count,MONITORING.PROGRESS.....2..._count,MONITORING.PROGRESS.....3..._count,MONITORING.PROGRESS.....4..._count,MONITORING.PROGRESS..._count,PEER.DISCUSSION.....1..._count,PEER.DISCUSSION.....2..._count,PEER.DISCUSSION.....3..._count,PEER.DISCUSSION.....4..._count,PEER.DISCUSSION..._count,PLANNING.....1..._count,PLANNING.....2..._count,PLANNING.....3..._count,PLANNING.....4..._count,PLANNING..._count,POLICY.....1..._count,POLICY.....2..._count,POLICY.....3..._count,POLICY.....4..._count,POLICY..._count
1,1,0,0,0,0,0,3,0,3,8,14,0,0,0,30,30,0,1,0,1,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,3,1,4,9,0,0,0,0,0
2,0,0,0,0,0,0,2,0,0,3,5,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,3,0,0,0,3,0,0,0,0,0
3,1,0,0,0,0,0,0,6,4,6,16,0,0,10,0,10,0,0,1,0,1,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,2,0,18,0,20,0,0,0,0,0
4,1,0,1,1,0,2,6,3,3,15,27,0,10,0,0,10,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5,0,0,0,0,0,0,0,6,7,3,16,0,10,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,1,0,8,0,0,0,0,0
6,1,0,0,0,0,0,2,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,7,0,0,0,0,0
7,0,0,0,0,0,0,15,0,0,0,15,20,0,0,0,20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0
8,1,0,0,0,0,0,6,2,5,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0
9,0,0,0,0,0,0,15,0,0,12,27,0,7,0,0,7,1,1,0,1,3,4,0,0,0,4,0,3,0,0,3,0,1,0,0,1,13,8,0,0,21,0,0,0,0,0
10,0,0,0,0,0,0,4,0,2,4,10,0,0,0,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,12,0,0,0,0,0
