dyndns_domains,isBad
0000000000000000000000.com,TRUE
020huahai.com,TRUE
021christine.com,TRUE
051.no,TRUE
0815x.com,TRUE
0bit.org,TRUE
0wnz-u.com,TRUE
0x.no,TRUE
101main.com,TRUE
101main.net,TRUE
1040ezdotcom.com,TRUE
120v.ac,TRUE
1243.ru,TRUE
12wildwood.ca,TRUE
1313.pl,TRUE
1337.cx,TRUE
136k.com,TRUE
17life.com,TRUE
18videoclip.com,TRUE
19861866.com,TRUE
1dumb.com,TRUE
1dvd.ru,TRUE
1k.ru,TRUE
1parfumer.ru,TRUE
1stresponderservices.com,TRUE
1z.lv,TRUE
20hz.biz,TRUE
216brew.com,TRUE
2288.org,TRUE
2298.co.uk,TRUE
24-7.ro,TRUE
25u.com,TRUE
27south.com,TRUE
29ah.ru,TRUE
2age.ru,TRUE
2chicksathome.com,TRUE
2dep.net,TRUE
2donext.com,TRUE
2fine.de,TRUE
2flamingarrow.net,TRUE
2m.lt,TRUE
2waky.com,TRUE
3-a.net,TRUE
3.3adisk.com,TRUE
3322.org,TRUE
33ramki.ru,TRUE
375diy.com,TRUE
389.me,TRUE
39gsm.ru,TRUE
3abc.gr,TRUE
3c4d.net,TRUE
3cnet.tw,TRUE
3d-game.com,TRUE
3dfurnitures.com,TRUE
3dthegym.in,TRUE
3dvizija.net,TRUE
3dxtras.com,TRUE
3n.cc,TRUE
3rbcool.net,TRUE
3rcp.com,TRUE
3sapoga.ru,TRUE
3trust.com,TRUE
3utilities.com,TRUE
404.mn,TRUE
4040.idv.tw,TRUE
40mps.com,TRUE
44.lt,TRUE
4dq.com,TRUE
4go.ru,TRUE
4irc.com,TRUE
4mydomain.com,TRUE
4profi.com,TRUE
4pu.com,TRUE
4stenki.ru,TRUE
4twenty.us,TRUE
55.lt,TRUE
6600.org,TRUE
6661338.ru,TRUE
69.mu,TRUE
6tester.com,TRUE
6tim.com,TRUE
7700.org,TRUE
777888.ru,TRUE
7nebo.vn.ua,TRUE
7s.com.tr,TRUE
80008000.com,TRUE
8518.com,TRUE
88.to,TRUE
8800.org,TRUE
8866.org,TRUE
8s.nl,TRUE
8tb.net,TRUE
8ui.org,TRUE
905tech.com,TRUE
941in.com,TRUE
9966.org,TRUE
999fj.com,TRUE
999w.cn,TRUE
9wide.com,TRUE
a01.ca,TRUE
aa.am,TRUE
aarn.ru,TRUE
aaro.ch,TRUE
abagan.com,TRUE
abccompany.biz,TRUE
abi.sh,TRUE
abmc-group.com,TRUE
aboutepr.ru,TRUE
abuser.eu,TRUE
abusers.eu,TRUE
acaro.org,TRUE
accessaidsnetwork.com,TRUE
accommodation-greece.com,TRUE
acdc.lv,TRUE
achille.com,TRUE
acmeservices.net,TRUE
acmetoy.com,TRUE
actionplant.com,TRUE
actionwheelsport.com,TRUE
activepolitic.com,TRUE
ad.is,TRUE
adagio.tw,TRUE
adbcard.com,TRUE
adfoto.ro,TRUE
adlen.ru,TRUE
admarco.com,TRUE
adtouch.ru,TRUE
adultdns.net,TRUE
advancedskincare.ie,TRUE
advergamer.com,TRUE
ae.org.ua,TRUE
afilmizle.net,TRUE
afraid.org,TRUE
africatravelling.net,TRUE
afrik1.com,TRUE
ageliaco.org,TRUE
agenciacitrica.com,TRUE
agerimoveis.com,TRUE
aghaiepour.com,TRUE
agila.com.br,TRUE
aging-hippy.com,TRUE
agrograd22.ru,TRUE
agropeople.ru,TRUE
ah.si,TRUE
ahfree.com,TRUE
ahfree.net,TRUE
ahyx.org,TRUE
aintno.info,TRUE
aionstuff.ru,TRUE
air-bagan.org,TRUE
airmosphere.com,TRUE
ais-salzburg.at,TRUE
ajhurst.org,TRUE
al-ansoriyy.net,TRUE
alagrupa.com,TRUE
alanbradburne.com,TRUE
alauxanh.com,TRUE
albarisi.com,TRUE
albertn.ru,TRUE
alcohol-addicted.com,TRUE
alemturka.net,TRUE
alexeyg.ru,TRUE
alexis-club.ru,TRUE
alexleow-kimmy.com,TRUE
alexunderbase.ro,TRUE
alfalcons.com,TRUE
alicjaressa.pl,TRUE
alinux.ru,TRUE
all.my,TRUE
allisons.org,TRUE
allowed.org,TRUE
allyopen.com,TRUE
almostmy.com,TRUE
alo8.com,TRUE
alphanet.net.br,TRUE
altfem.ro,TRUE
altit.ru,TRUE
alveaelectric.com,TRUE
alvin.hk,TRUE
alware.com,TRUE
amandado.com,TRUE
amcsecurity.com,TRUE
americajhon.com.pe,TRUE
americanelectricalservices.net,TRUE
americanunfinished.com,TRUE
americatravelling.net,TRUE
ammendolias.com,TRUE
amogay.com,TRUE
amordivino.cl,TRUE
amursk-hotline.ru,TRUE
amursk-rayon.ru,TRUE
amurt.org.uk,TRUE
amyadelefoster.com,TRUE
anajuliana.com,TRUE
anastasion.com,TRUE
anawil.com.ar,TRUE
andrewhaberman.com,TRUE
andreymorozov.ru,TRUE
anglicanplanet.net,TRUE
angoracat.ru,TRUE
annaffiare.org,TRUE
anton-kovalenko.ru,TRUE
antongorbunov.com,TRUE
antriga.lv,TRUE
antwique.com,TRUE
anymp3.ru,TRUE
apcollege.ru,TRUE
apitel.cl,TRUE
aponbd.com,TRUE
apreleva.com,TRUE
aquazoopets.com,TRUE
arava.in,TRUE
arbalet-spb.ru,TRUE
arcprojects.ru,TRUE
ardi.li,TRUE
argetohuchat.ch,TRUE
aries.ro,TRUE
arm.ee,TRUE
armani.ro,TRUE
armed.us,TRUE
arno.fi,TRUE
arnotex.com,TRUE
arribaeleste.com,TRUE
arrowmedia.web.id,TRUE
art-e-facto.net,TRUE
artisnotcrime.com,TRUE
artofhacking.com,TRUE
artosfer.com,TRUE
artteam.ro,TRUE
asbatim.ch,TRUE
asdf.ch,TRUE
asenov.ru,TRUE
asianfreshproduce.com,TRUE
asiatravelling.net,TRUE
asixfiles.com,TRUE
ask2ask.com,TRUE
aspserver.net,TRUE
astrodust.com,TRUE
astrologie-horoscop.ro,TRUE
astrolojiburc.com,TRUE
asu.su,TRUE
asusdriver.ru,TRUE
at-band-camp.net,TRUE
atasnamacinta.org,TRUE
atelierrua.com,TRUE
atfacebook.net,TRUE
ath.cx,TRUE
ath.ro,TRUE
athens-athens.com,TRUE
athleticpharma.com,TRUE
atitudine.net,TRUE
atmyspace.net,TRUE
atskype.net,TRUE
attackus.net,TRUE
attwell.net,TRUE
attwitter.net,TRUE
atyoutube.net,TRUE
au.ms,TRUE
audicarfans.com,TRUE
audio-stream.net,TRUE
auraria.org,TRUE
australiatravelling.net,TRUE
authorizeddns.net,TRUE
authorizeddns.org,TRUE
authorizeddns.us,TRUE
autofull.pl,TRUE
autogas-adapter.eu,TRUE
autohemoterapia.com,TRUE
automillion.ru,TRUE
automotive.ro,TRUE
automotive.si,TRUE
autoroutedemorges.ch,TRUE
autotema.info,TRUE
avangardkennel.ru,TRUE
avdbturnike.gov.tr,TRUE
avon-chat.com,TRUE
avtobizz.ru,TRUE
avtoopt-nn.ru,TRUE
avtoservis-hladin.si,TRUE
aweandreverence.com,TRUE
awiki.org,TRUE
awmail.org,TRUE
ax.lt,TRUE
axisglobal.co.id,TRUE
axsol.com.ar,TRUE
ayaka.ws,TRUE
ayakacomputer.biz,TRUE
ayakanet.biz,TRUE
ayakanet.org,TRUE
azote.org,TRUE
azstronghold.com,TRUE
b0ne.com,TRUE
b0tnet.com,TRUE
b2barea.ru,TRUE
bacek.com,TRUE
bad.mn,TRUE
badabrasil.com.br,TRUE
bagus.org,TRUE
bakerweb.biz,TRUE
bakumarket.com,TRUE
balmed.ru,TRUE
bambong.net,TRUE
bamoon.com,TRUE
bamteli.org,TRUE
bapat.org,TRUE
barbaforte.org,TRUE
barcelona.com.ru,TRUE
