category,description,extension
"Text Files","Microsoft Word Document",".doc"
"Text Files","Microsoft Word Open XML Document",".docx"
"Text Files","Log File",".log"
"Text Files","Outlook Mail Message",".msg"
"Text Files","OpenDocument Text Document",".odt"
"Text Files","Pages Document",".pages"
"Text Files","Rich Text Format File",".rtf"
"Text Files","LaTeX Source Document",".tex"
"Text Files","Plain Text File",".txt"
"Text Files","WordPerfect Document",".wpd"
"Text Files","Microsoft Works Word Processor Document",".wps"
"Data Files","Comma Separated Values File",".csv"
"Data Files","Data File",".dat"
"Data Files","GEDCOM Genealogy Data File",".ged"
"Data Files","Keynote Presentation",".key"
"Data Files","Mac OS X Keychain File",".keychain"
"Data Files","PowerPoint Slide Show",".pps"
"Data Files","PowerPoint Presentation",".ppt"
"Data Files","PowerPoint Open XML Presentation",".pptx"
"Data Files","Standard Data File",".sdf"
"Data Files","Consolidated Unix File Archive",".tar"
"Data Files","TurboTax 2016 Tax Return",".tax2016"
"Data Files","TurboTax 2017 Tax Return",".tax2017"
"Data Files","vCard File",".vcf"
"Data Files","XML File",".xml"
"Audio Files","Audio Interchange File Format",".aif"
"Audio Files","Interchange File Format",".iff"
"Audio Files","Media Playlist File",".m3u"
"Audio Files","MPEG-4 Audio File",".m4a"
"Audio Files","MIDI File",".mid"
"Audio Files","MP3 Audio File",".mp3"
"Audio Files","MPEG-2 Audio File",".mpa"
"Audio Files","WAVE Audio File",".wav"
"Audio Files","Windows Media Audio File",".wma"
"Video Files","3GPP2 Multimedia File",".3g2"
"Video Files","3GPP Multimedia File",".3gp"
"Video Files","Advanced Systems Format File",".asf"
"Video Files","Audio Video Interleave File",".avi"
"Video Files","Animate Video File",".flv"
"Video Files","iTunes Video File",".m4v"
"Video Files","Apple QuickTime Movie",".mov"
"Video Files","MPEG-4 Video File",".mp4"
"Video Files","MPEG Video File",".mpg"
"Video Files","RealMedia File",".rm"
"Video Files","SubRip Subtitle File",".srt"
"Video Files","Shockwave Flash Movie",".swf"
"Video Files","DVD Video Object File",".vob"
"Video Files","Windows Media Video File",".wmv"
"3D Image Files","Rhino 3D Model",".3dm"
"3D Image Files","3D Studio Scene",".3ds"
"3D Image Files","3ds Max Scene File",".max"
"3D Image Files","Wavefront 3D Object File",".obj"
"Raster Image Files","Bitmap Image File",".bmp"
"Raster Image Files","DirectDraw Surface",".dds"
"Raster Image Files","Graphical Interchange Format File",".gif"
"Raster Image Files","JPEG Image",".jpg"
"Raster Image Files","Portable Network Graphic",".png"
"Raster Image Files","Adobe Photoshop Document",".psd"
"Raster Image Files","PaintShop Pro Image",".pspimage"
"Raster Image Files","Targa Graphic",".tga"
"Raster Image Files","Thumbnail Image File",".thm"
"Raster Image Files","Tagged Image File",".tif"
"Raster Image Files","Tagged Image File Format",".tiff"
"Raster Image Files","YUV Encoded Image File",".yuv"
"Vector Image Files","Adobe Illustrator File",".ai"
"Vector Image Files","Encapsulated PostScript File",".eps"
"Vector Image Files","PostScript File",".ps"
"Vector Image Files","Scalable Vector Graphics File",".svg"
"Vector Image Files","Adobe InDesign Document",".indd"
"Vector Image Files","Picture File",".pct"
"Vector Image Files","Portable Document Format File",".pdf"
"Spreadsheet Files","Works Spreadsheet",".xlr"
"Spreadsheet Files","Excel Spreadsheet",".xls"
"Spreadsheet Files","Microsoft Excel Open XML Spreadsheet",".xlsx"
"Database Files","Access 2007 Database File",".accdb"
"Database Files","Database File",".db"
"Database Files","Database File",".dbf"
"Database Files","Microsoft Access Database",".mdb"
"Database Files","Program Database",".pdb"
"Database Files","Structured Query Language Data File",".sql"
"Executable Files","Android Package File",".apk"
"Executable Files","Mac OS X Application",".app"
"Executable Files","DOS Batch File",".bat"
"Executable Files","Common Gateway Interface Script",".cgi"
"Executable Files","DOS Command File",".com"
"Executable Files","Windows Executable File",".exe"
"Executable Files","Windows Gadget",".gadget"
"Executable Files","Java Archive File",".jar"
"Executable Files","Windows Script File",".wsf"
"Game Files","Grand Theft Auto 3 Saved Game File",".b"
"Game Files","Video Game Demo File",".dem"
"Game Files","Saved Game File",".gam"
"Game Files","Nintendo (NES) ROM File",".nes"
"Game Files","N64 Game ROM File",".rom"
"Game Files","Saved Game",".sav"
