Prefix,Designation,Date,WHOIS,RDAP,Status [1],Note
0.0.0.1/8,IANA - Local Identification,1981-09,,,RESERVED,[2]
1.0.0.1/8,APNIC,2010-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
2.0.0.1/8,RIPE NCC,2009-09,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
3.0.0.1/8,General Electric Company,1994-05,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
4.0.0.1/8,"Level 3 Communications, Inc.",1992-12,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
5.0.0.1/8,RIPE NCC,2010-11,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
6.0.0.1/8,Army Information Systems Center,1994-02,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
7.0.0.1/8,Administered by ARIN,1995-04,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
8.0.0.1/8,"Level 3 Communications, Inc.",1992-12,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
9.0.0.1/8,IBM,1992-08,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
10.0.0.1/8,IANA - Private Use,1995-06,,,RESERVED,[3]
11.0.0.1/8,DoD Intel Information Systems,1993-05,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
12.0.0.1/8,AT&T Bell Laboratories,1995-06,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
13.0.0.1/8,Administered by ARIN,1991-09,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
14.0.0.1/8,APNIC,2010-04,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,[4]
15.0.0.1/8,Hewlett-Packard Company,1994-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
16.0.0.1/8,Digital Equipment Corporation,1994-11,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
17.0.0.1/8,Apple Computer Inc.,1992-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
18.0.0.1/8,MIT,1994-01,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
19.0.0.1/8,Ford Motor Company,1995-05,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
20.0.0.1/8,Computer Sciences Corporation,1994-10,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
21.0.0.1/8,DDN-RVN,1991-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
22.0.0.1/8,Defense Information Systems Agency,1993-05,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
23.0.0.1/8,ARIN,2010-11,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
24.0.0.1/8,ARIN,2001-05,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
25.0.0.1/8,UK Ministry of Defence,1995-01,whois.ripe.net,https://rdap.db.ripe.net/,LEGACY,
26.0.0.1/8,Defense Information Systems Agency,1995-05,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
27.0.0.1/8,APNIC,2010-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
28.0.0.1/8,DSI-North,1992-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
29.0.0.1/8,Defense Information Systems Agency,1991-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
30.0.0.1/8,Defense Information Systems Agency,1991-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
31.0.0.1/8,RIPE NCC,2010-05,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
32.0.0.1/8,Administered by ARIN,1994-06,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
33.0.0.1/8,DLA Systems Automation Center,1991-01,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
34.0.0.1/8,Halliburton Company,1993-03,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
35.0.0.1/8,Administered by ARIN,1994-04,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
36.0.0.1/8,APNIC,2010-10,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
37.0.0.1/8,RIPE NCC,2010-11,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
38.0.0.1/8,"PSINet, Inc.",1994-09,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
39.0.0.1/8,APNIC,2011-01,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
40.0.0.1/8,Administered by ARIN,1994-06,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
41.0.0.1/8,AFRINIC,2005-04,whois.afrinic.net,https://rdap.afrinic.net/rdap/http://rdap.afrinic.net/rdap/,ALLOCATED,
42.0.0.1/8,APNIC,2010-10,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
43.0.0.1/8,Administered by APNIC,1991-01,whois.apnic.net,https://rdap.apnic.net/,LEGACY,
44.0.0.1/8,Amateur Radio Digital Communications,1992-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
45.0.0.1/8,Administered by ARIN,1995-01,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
46.0.0.1/8,RIPE NCC,2009-09,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
47.0.0.1/8,Administered by ARIN,1991-01,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
48.0.0.1/8,Prudential Securities Inc.,1995-05,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
49.0.0.1/8,APNIC,2010-08,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
50.0.0.1/8,ARIN,2010-02,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
51.0.0.1/8,Administered by RIPE NCC,1994-08,whois.ripe.net,https://rdap.db.ripe.net/,LEGACY,
52.0.0.1/8,Administered by ARIN,1991-12,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
53.0.0.1/8,Daimler AG,1993-10,whois.ripe.net,https://rdap.db.ripe.net/,LEGACY,
