process-name, prolly_bad
"at.exe", "True"
"bcdedit.exe", "True"
"chcp.exe", "True"
"cmd.exe", "True"
"cscript.exe", "True"
"ipconfig.exe", "True"
"mimikatz.exe", "True"
"nbtstat.exe", "True"
"nc.exe", "True"
"netcat.exe", "True"
"netstat.exe", "True"
"nmap", "True"
"nslookup.exe", "True"
"bcp.exe", "True"
"sqlcmd.exe", "True"
"OSQL.exe", "True"
"ping.exe", "True"
"powershell.exe", "True"
"powercat.ps1", "True"
"psexec.exe", "True"
"psexecsvc.exe", "True"
"psLoggedOn.exe", "True"
"procdump.exe", "True"
"rar.exe", "True"
"reg.exe", "True"
"route.exe", "True"
"runas.exe", "True"
"sc.exe", "True"
"schtasks.exe", "True"
"sethc.exe", "True"
"ssh.exe", "True"
"sysprep.exe", "True"
"systeminfo.exe", "True"
"system32\\net.exe", "True"
"tracert.exe", "True"
"vssadmin.exe", "True"
"whoami.exe", "True"
"winrar.exe", "True"
"wscript.exe", "True"
"winrm.*", "True"
"winrs.*", "True"
"wmic.exe", "True"
"wsmprovhost.exe", "True"
